sensor_id,description,dataType,location,type,unit,timeZone,publicAccess,component,componentType,componentDesc,componentPublicAccess,info_sample_rate_(min),info_min_val,info_max_val,info_region,info_province,info_river,info_river_district,info_basin,info_sub_basin,info_municipality,info_x_coord_utm_etrs89,info_y_coord_utm_etrs89,info_state
080018-005-ANA016,Rainfall intensity,NUMBER,41.510745674 1.917310383,12,mm/h,CET,True,080018-005,pluviometre,Abrera,True,5.0,0.0,400.0,BAIX LLOBREGAT,BARCELONA,RIU LLOBREGAT,ACA,EL LLOBREGAT,BAIX LLOBREGAT,ABRERA,409650,4596023,In service
080462-001-ANA008,Rainfall intensity,NUMBER,41.619664895 2.360394416,12,mm/h,CET,True,080462-001,pluviometre,Roca del Vallès (ETAP Cardedeu),True,5.0,0.0,310.0,VALLÈS ORIENTAL,BARCELONA,RIU MOGENT,ACA,EL BESÒS,EL BESÒS,"ROCA DEL VALLÈS, LA",446715,4607747,In service
080478-006-ANA004,Rainfall intensity,NUMBER,41.920666218 1.696075185,12,mm/h,CET,True,080478-006,pluviometre,Cardona (túnel),True,5.0,0.0,170.0,BAGES,BARCELONA,RIU CARDENER,ACA,EL LLOBREGAT,EL CARDENER,CARDONA,391877,4641790,In service
080522-004-PLV01,Rainfall intensity,NUMBER,42.259779296 1.977477661,12,mm/h,CET,True,080522-004,pluviometre,Castellar de n'Hug (Clot del Moro),True,5.0,0.0,150.0,BERGUEDÀ,BARCELONA,RIU LLOBREGAT,ACA,EL LLOBREGAT,ALT LLOBREGAT,CASTELLAR DE N'HUG,415662,4679126,In service
080538-005-ANA003,Rainfall intensity,NUMBER,41.646561643 1.858396556,12,mm/h,CET,True,080538-005,pluviometre,Castellbell i el Vilar,True,5.0,0.0,200.0,BAGES,BARCELONA,RIU LLOBREGAT,ACA,EL LLOBREGAT,BAIX LLOBREGAT,CASTELLBELL I EL VILAR,404933,4611165,In service
080581-002-ANA009,Rainfall intensity,NUMBER,41.255617318 1.651034658,12,mm/h,CET,True,080581-002,pluviometre,Embassament de Foix (Castellet i la Gornal),True,5.0,0.0,180.0,ALT PENEDÈS,BARCELONA,RIU FOIX,ACA,EL FOIX,EL FOIX,CASTELLET I LA GORNAL,386988,4568011,In service
080826-002-ANA010,Rainfall intensity,NUMBER,41.738958347 2.693885954,12,mm/h,CET,True,080826-002,pluviometre,Fogars de la Selva (Can Simó),True,5.0,0.0,150.0,SELVA,BARCELONA,RIU TORDERA,ACA,LA TORDERA,LA TORDERA,FOGARS DE LA SELVA,474545,4620839,In service
080996-007-ANA009,Rainfall intensity,NUMBER,42.214385565 1.869705979,12,mm/h,CET,True,080996-007,pluviometre,Guardiola de Berguedà (Llobregat),True,,,,BERGUEDÀ,BARCELONA,RIU LLOBREGAT,ACA,EL LLOBREGAT,ALT LLOBREGAT,GUARDIOLA DE BERGUEDÀ,406706,4674198,In service
081419-003-ANA006,Rainfall intensity,NUMBER,42.099784969 1.58285827,12,mm/h,CET,True,081419-003,pluviometre,Embassament de la Llosa del Cavall (Navès),True,5.0,0.0,210.0,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL LLOBREGAT,EL CARDENER,NAVÈS,382818,4661827,In service
081918-009-ANA002,Rainfall intensity,NUMBER,41.787629375 1.91716489,12,mm/h,CET,True,081918-009,pluviometre,Sallent,True,,,,BAGES,BARCELONA,RIERA GAVARRESA,ACA,EL LLOBREGAT,LLOBREGAT MIG,ARTÉS,410024,4626764,In service
082021-001-ANA001,Rainfall intensity,NUMBER,41.680341221 2.488976096,12,mm/h,CET,True,082021-001,pluviometre,Sant Celoni,True,5.0,0.0,140.0,VALLÈS ORIENTAL,BARCELONA,RIU TORDERA,ACA,LA TORDERA,LA TORDERA,SANT CELONI,457467,4614412,In service
082172-002-ANA014,Rainfall intensity,NUMBER,41.351810642 2.046600124,12,mm/h,CET,True,082172-002,pluviometre,Sant Joan Despí,True,5.0,0.0,320.0,BAIX LLOBREGAT,BARCELONA,RIU LLOBREGAT,ACA,EL LLOBREGAT,BAIX LLOBREGAT,SANT JOAN DESPÍ,420245,4578251,In service
082362-001-ANA003,Rainfall intensity,NUMBER,41.458696562 1.664099955,12,mm/h,CET,True,082362-001,pluviometre,Sant Quintí de Mediona,True,5.0,0.0,200.0,ALT PENEDÈS,BARCELONA,RIU RIUDEVITLLES-RIERA DE MEDI,ACA,EL LLOBREGAT,L'ANOIA,SANT QUINTÍ DE MEDIONA,388430,4590540,In service
082401-002-ANA002,Rainfall intensity,NUMBER,41.443497484 1.788187977,12,mm/h,CET,True,082401-002,pluviometre,Sant Sadurní d'Anoia,True,5.0,0.0,150.0,ALT PENEDÈS,BARCELONA,RIU ANOIA,ACA,EL LLOBREGAT,L'ANOIA,SANT SADURNÍ D'ANOIA,398770,4588700,In service
082457-001-ANA002,Rainfall intensity,NUMBER,41.450597601 2.200589117,12,mm/h,CET,True,082457-001,pluviometre,Santa Coloma de Gramenet (riu),True,5.0,0.0,130.0,BARCELONÈS,BARCELONA,RIU BESÓS,ACA,EL BESÒS,EL BESÒS,SANTA COLOMA DE GRAMENET,433228,4589088,In service
082634-001-ANA017,Rainfall intensity,NUMBER,41.386564791 2.023355995,12,mm/h,CET,True,082634-001,pluviometre,Sant Vicenç dels Horts (Canal de la Dreta),True,5.0,0.0,310.0,BAIX LLOBREGAT,BARCELONA,RIU LLOBREGAT,ACA,EL LLOBREGAT,BAIX LLOBREGAT,SANT VICENÇ DELS HORTS,418344,4582131,In service
082687-001-ANA016,Rainfall intensity,NUMBER,42.122014524 1.878559556,12,mm/h,CET,True,082687-001,pluviometre,Embassament de la Baells (Cercs),True,5.0,0.0,150.0,BERGUEDÀ,BARCELONA,RIU LLOBREGAT,ACA,EL LLOBREGAT,ALT LLOBREGAT,CERCS,407302,4663932,In service
082747-007-ANA003,Rainfall intensity,NUMBER,41.81351335 1.762733581,12,mm/h,CET,True,082747-007,pluviometre,Súria,True,5.0,0.0,190.0,BAGES,BARCELONA,RIU CARDENER,ACA,EL LLOBREGAT,EL CARDENER,SÚRIA,397233,4629811,In service
083036-001-ANA024,Rainfall intensity,NUMBER,41.968624956 2.413554059,12,mm/h,CET,True,083036-001,pluviometre,Embassament de Sau (Vilanova de Sau),True,5.0,0.0,150.0,OSONA,BARCELONA,RIU TER,ACA,EL TER,ALT TER,VILANOVA DE SAU,451408,4646459,In service
170059-001-ANA002,Rainfall intensity,NUMBER,42.2377829 2.969057765,12,mm/h,CET,True,170059-001,pluviometre,Santa Llogaia d'Àlguema (riu Manol),True,5.0,0.0,140.0,ALT EMPORDÀ,GIRONA,RIU MUGA,ACA,LA MUGA,LA MUGA,SANTA LLOGAIA D'ÀLGUEMA,497447,4676178,In service
170221-002-ANA002,Rainfall intensity,NUMBER,41.964586294 3.03821947,12,mm/h,CET,True,170221-002,pluviometre,Bisbal d'Empordà (Daró),True,5.0,0.0,210.0,BAIX EMPORDÀ,GIRONA,RIU DARO,ACA,EL DARÓ,EL DARÓ,"BISBAL D'EMPORDÀ, LA",503167,4645845,In service
170558-002-ANA024,Rainfall intensity,NUMBER,42.076860022 2.991162733,12,mm/h,CET,True,170558-002,pluviometre,Colomers (riu i canal de Sentmenat),True,5.0,0.0,160.0,BAIX EMPORDÀ,GIRONA,RIU TER,ACA,EL TER,BAIX TER,COLOMERS,499269,4658310,In service
170656-005-ANA008,Rainfall intensity,NUMBER,42.177583121 2.798648637,12,mm/h,CET,True,170656-005,pluviometre,Esponellà,True,5.0,0.0,170.0,PLA DE L'ESTANY,GIRONA,RIU FLUVIÀ,ACA,EL FLUVIÀ,EL FLUVIÀ,ESPONELLÀ,483371,4669513,In service
170792-003-ANA002,Rainfall intensity,NUMBER,41.975059495 2.824550321,12,mm/h,CET,True,170792-003,pluviometre,Girona (Onyar),True,5.0,0.0,200.0,GIRONÈS,GIRONA,RIU ONYAR,ACA,EL TER,BAIX TER,GIRONA,485464,4647022,In maintenance
171169-001-ANA006,Rainfall intensity,NUMBER,41.979075237 2.527357457,12,mm/h,CET,True,171169-001,pluviometre,Embassament de Susqueda (Osor),True,5.0,0.0,140.0,SELVA,GIRONA,RIU TER,ACA,EL TER,ALT TER,OSOR,460844,4647561,In service
171328-001-ANA002,Rainfall intensity,NUMBER,42.304198759 3.008759796,12,mm/h,CET,True,171328-001,pluviometre,Peralada (Llobregat de la Muga),True,5.0,0.0,180.0,ALT EMPORDÀ,GIRONA,R LLOBREGAT DE LA MUGA,ACA,LA MUGA,LA MUGA,PERALADA,500722,4683552,In service
171352-003-ANA007,Rainfall intensity,NUMBER,42.31551754 2.917968379,12,mm/h,CET,True,171352-003,pluviometre,Pont de Molins,True,5.0,0.0,180.0,ALT EMPORDÀ,GIRONA,RIU MUGA,ACA,LA MUGA,LA MUGA,PONT DE MOLINS,493240,4684812,In service
171501-001-ANA003,Rainfall intensity,NUMBER,41.897979761 2.818842216,12,mm/h,CET,True,171501-001,pluviometre,Campllong (la Gotarra),True,5.0,0.0,190.0,GIRONÈS,GIRONA,RIERA GOTARRA,ACA,EL TER,BAIX TER,CAMPLLONG,484973,4638465,In service
171707-001-ANA013,Rainfall intensity,NUMBER,42.172192162 2.194229581,12,mm/h,CET,True,171707-001,pluviometre,Ripoll,True,5.0,0.0,150.0,RIPOLLÈS,GIRONA,RIU TER,ACA,EL TER,ALT TER,RIPOLL,433448,4669209,In service
171714-001-ANA04,Rainfall intensity,NUMBER,42.316501288 2.78190903,12,mm/h,CET,True,171714-001,pluviometre,Sant Llorenç de la Muga,True,5.0,0.0,120.0,ALT EMPORDÀ,GIRONA,RIU MUGA,ACA,LA MUGA,LA MUGA,SANT LLORENÇ DE LA MUGA,482028,4684941,In service
171812-001-ANA002,Rainfall intensity,NUMBER,41.81813956 2.979121769,12,mm/h,CET,True,171812-001,pluviometre,Santa Cristina d'Aro,True,5.0,0.0,180.0,BAIX EMPORDÀ,GIRONA,RIU RIDAURA,ACA,RIERES DEL CAP DE BEGUR-BLANES,N/D,SANTA CRISTINA D'ARO,498266,4629585,In service
171899-003-ANA033,Rainfall intensity,NUMBER,41.984436008 2.601414188,12,mm/h,CET,True,171899-003,pluviometre,Embassament del Pasteral (la Cellera de Ter),True,5.0,0.0,350.0,SELVA,GIRONA,RIU TER,ACA,EL TER,ALT TER,"CELLERA DE TER, LA",466982,4648125,In service
171910-001-ANA002,Rainfall intensity,NUMBER,42.026086442 3.070750566,12,mm/h,CET,True,171910-001,pluviometre,Serra de Daró (riu Daró),True,5.0,0.0,150.0,BAIX EMPORDÀ,GIRONA,RIU DARO,ACA,EL DARÓ,EL DARÓ,SERRA DE DARÓ,505857,4652675,In service
251116-004-ANA04,Rainfall intensity,NUMBER,42.135943463 1.673105973,12,mm/h,CET,True,251116-004,pluviometre,Guixers (Aigua de Valls),True,5.0,0.0,390.0,SOLSONÈS,LLEIDA,RIERA AIGUA DE VALLS,ACA,EL LLOBREGAT,EL CARDENER,GUIXERS,390343,4665722,In service
251462-001-ANA04,Rainfall intensity,NUMBER,42.007056419 1.6524216,12,mm/h,CET,True,251462-001,pluviometre,Navès (Aigua d'Ora),True,5.0,0.0,110.0,SOLSONÈS,LLEIDA,RIERA D'AIGUADORA,ACA,EL LLOBREGAT,EL CARDENER,NAVÈS,388408,4651438,In service
430430-001-ANA001,Rainfall intensity,NUMBER,41.195224935 1.327889195,12,mm/h,CET,True,430430-001,pluviometre,Embassament del Gaià (el Catllar),True,5.0,0.0,110.0,TARRAGONÈS,TARRAGONA,RIU GAIÀ,ACA,EL GAIÀ,EL GAIÀ,"CATLLAR, EL",359786,4561777,In service
430496-001-ANA005,Rainfall intensity,NUMBER,41.249642381 0.913800784,12,mm/h,CET,True,430496-001,pluviometre,Embassament de Siurana (Cornudella de Montsant),True,5.0,0.0,160.0,PRIORAT,TARRAGONA,E. SIURANA,ACA,L'EBRE,RIU DE SIURANA,CORNUDELLA DE MONTSANT,325206,4568569,In service
430496-002-ANA011,Rainfall intensity,NUMBER,41.235213719 0.887663708,12,mm/h,CET,True,430496-002,pluviometre,Trasvàs Siurana-Riudecanyes,True,5.0,0.0,160.0,PRIORAT,TARRAGONA,RIU SIURANA,ACA,L'EBRE,RIU DE SIURANA,CORNUDELLA DE MONTSANT,322544,4567078,In service
430537-001-ANA007,Rainfall intensity,NUMBER,41.134931354 0.960270444,12,mm/h,CET,True,430537-001,pluviometre,Embassament de Riudecanyes,True,5.0,0.0,170.0,BAIX CAMP,TARRAGONA,RIERA DE RIUDECANYES,ACA,RIERA DE RIUDECANYES,RIERA DE RIUDECANYES,RIUDECANYES,328801,4555741,Out of service
430862-001-ANA002,Rainfall intensity,NUMBER,41.364783119 1.179845465,12,mm/h,CET,True,430862-001,pluviometre,Montblanc (riu),True,5.0,0.0,150.0,CONCA DE BARBERÀ,TARRAGONA,RIU FRANCOLÍ,ACA,EL FRANCOLÍ,EL FRANCOLÍ,MONTBLANC,347766,4580851,In service
431652-001-ANA002,Rainfall intensity,NUMBER,41.233966843 1.33729486,12,mm/h,CET,True,431652-001,pluviometre,Vilabella,True,5.0,0.0,200.0,ALT CAMP,TARRAGONA,RIU GAIÀ,ACA,EL GAIÀ,EL GAIÀ,VILABELLA,360657,4566063,In service
171674-006-ANA009,Rainfall intensity,NUMBER,42.22466429 2.243255294,12,mm/h,CET,True,171674-006,pluviometre,Sant Joan de les Abadesses,True,,,,RIPOLLÈS,GIRONA,RIU TER,ACA,EL TER,ALT TER,SANT JOAN DE LES ABADESSES,437546,4674665,In service
250753-004-ANA011,Rainfall intensity,NUMBER,41.962942293 1.605613258,12,mm/h,CET,True,250753-004,pluviometre,Sant Ponç (Clariana de Cardener),True,,,,SOLSONÈS,LLEIDA,RIU CARDENER,ACA,EL LLOBREGAT,EL CARDENER,CLARIANA DE CARDENER,384452,4646602,In service
170600-001-ANA022,Rainfall intensity,NUMBER,42.340588782 2.833225165,12,mm/h,CET,True,170600-001,pluviometre,Embassament de Darnius Boadella (Darnius),True,5.0,0.0,380.0,ALT EMPORDÀ,GIRONA,RIU MUGA,ACA,LA MUGA,LA MUGA,DARNIUS,486262,4687606,In service
081580-002-ANA008,Rainfall intensity,NUMBER,41.448855953 1.995677423,12,mm/h,CET,True,081580-002,pluviometre,El Papiol,True,,,,BAIX LLOBREGAT,BARCELONA,RIERA DE RUBÍ,ACA,EL LLOBREGAT,BAIX LLOBREGAT,"PAPIOL, EL",416110,4589073,In service
080581-003-ANA03,Rainfall intensity,NUMBER,41.265510765 1.634499867,12,mm/h,CET,True,080581-003,pluviometre,Castellet i la Gornal,True,,,,ALT PENEDÈS,BARCELONA,RIU FOIX,ACA,EL FOIX,EL FOIX,CASTELLET I LA GORNAL,385620,4569131,In service
081081-001-ANA001,Rainfall intensity,NUMBER,41.58640814 2.2456452,12,mm/h,CET,True,081081-001,pluviometre,Lliçà de Vall,True,,,,VALLÈS ORIENTAL,BARCELONA,RIU TENES,ACA,EL BESÒS,EL TENES,LLIÇÀ DE VALL,437123,4604132,In service
